Character,Name,Category
!,Exclamation Mark,Standard 0-255 (UTF-8) Character Set
"""",Quotation Mark,Standard 0-255 (UTF-8) Character Set
#,Number Sign,Standard 0-255 (UTF-8) Character Set
$,Dollar Sign,Standard 0-255 (UTF-8) Character Set
%,Percent Sign,Standard 0-255 (UTF-8) Character Set
&,Ampersand,Standard 0-255 (UTF-8) Character Set
',Apostrophe,Standard 0-255 (UTF-8) Character Set
(,Left Parenthesis,Standard 0-255 (UTF-8) Character Set
),Right Parenthesis,Standard 0-255 (UTF-8) Character Set
*,Asterisk,Standard 0-255 (UTF-8) Character Set
+,Plus Sign,Standard 0-255 (UTF-8) Character Set
",",Comma,Standard 0-255 (UTF-8) Character Set
-,Hyphen-Minus,Standard 0-255 (UTF-8) Character Set
.,Full Stop,Standard 0-255 (UTF-8) Character Set
/,Solidus,Standard 0-255 (UTF-8) Character Set
0,Digit Zero,Standard 0-255 (UTF-8) Character Set
1,Digit One,Standard 0-255 (UTF-8) Character Set
2,Digit Two,Standard 0-255 (UTF-8) Character Set
3,Digit Three,Standard 0-255 (UTF-8) Character Set
4,Digit Four,Standard 0-255 (UTF-8) Character Set
5,Digit Five,Standard 0-255 (UTF-8) Character Set
6,Digit Six,Standard 0-255 (UTF-8) Character Set
7,Digit Seven,Standard 0-255 (UTF-8) Character Set
8,Digit Eight,Standard 0-255 (UTF-8) Character Set
9,Digit Nine,Standard 0-255 (UTF-8) Character Set
:,Colon,Standard 0-255 (UTF-8) Character Set
;,Semicolon,Standard 0-255 (UTF-8) Character Set
<,Less-Than Sign,Standard 0-255 (UTF-8) Character Set
=,Equals Sign,Standard 0-255 (UTF-8) Character Set
>,Greater-Than Sign,Standard 0-255 (UTF-8) Character Set
?,Question Mark,Standard 0-255 (UTF-8) Character Set
@,Commercial At,Standard 0-255 (UTF-8) Character Set
A,Latin Capital Letter A,Standard 0-255 (UTF-8) Character Set
B,Latin Capital Letter B,Standard 0-255 (UTF-8) Character Set
C,Latin Capital Letter C,Standard 0-255 (UTF-8) Character Set
D,Latin Capital Letter D,Standard 0-255 (UTF-8) Character Set
E,Latin Capital Letter E,Standard 0-255 (UTF-8) Character Set
F,Latin Capital Letter F,Standard 0-255 (UTF-8) Character Set
G,Latin Capital Letter G,Standard 0-255 (UTF-8) Character Set
H,Latin Capital Letter H,Standard 0-255 (UTF-8) Character Set
I,Latin Capital Letter I,Standard 0-255 (UTF-8) Character Set
J,Latin Capital Letter J,Standard 0-255 (UTF-8) Character Set
K,Latin Capital Letter K,Standard 0-255 (UTF-8) Character Set
L,Latin Capital Letter L,Standard 0-255 (UTF-8) Character Set
M,Latin Capital Letter M,Standard 0-255 (UTF-8) Character Set
N,Latin Capital Letter N,Standard 0-255 (UTF-8) Character Set
O,Latin Capital Letter O,Standard 0-255 (UTF-8) Character Set
P,Latin Capital Letter P,Standard 0-255 (UTF-8) Character Set
Q,Latin Capital Letter Q,Standard 0-255 (UTF-8) Character Set
R,Latin Capital Letter R,Standard 0-255 (UTF-8) Character Set
S,Latin Capital Letter S,Standard 0-255 (UTF-8) Character Set
T,Latin Capital Letter T,Standard 0-255 (UTF-8) Character Set
U,Latin Capital Letter U,Standard 0-255 (UTF-8) Character Set
V,Latin Capital Letter V,Standard 0-255 (UTF-8) Character Set
W,Latin Capital Letter W,Standard 0-255 (UTF-8) Character Set
X,Latin Capital Letter X,Standard 0-255 (UTF-8) Character Set
Y,Latin Capital Letter Y,Standard 0-255 (UTF-8) Character Set
Z,Latin Capital Letter Z,Standard 0-255 (UTF-8) Character Set
[,Left Square Bracket,Standard 0-255 (UTF-8) Character Set
\,Reverse Solidus,Standard 0-255 (UTF-8) Character Set
],Right Square Bracket,Standard 0-255 (UTF-8) Character Set
^,Circumflex Accent,Standard 0-255 (UTF-8) Character Set
_,Low Line,Standard 0-255 (UTF-8) Character Set
`,Grave Accent,Standard 0-255 (UTF-8) Character Set
a,Latin Small Letter A,Standard 0-255 (UTF-8) Character Set
b,Latin Small Letter B,Standard 0-255 (UTF-8) Character Set
c,Latin Small Letter C,Standard 0-255 (UTF-8) Character Set
d,Latin Small Letter D,Standard 0-255 (UTF-8) Character Set
e,Latin Small Letter E,Standard 0-255 (UTF-8) Character Set
f,Latin Small Letter F,Standard 0-255 (UTF-8) Character Set
g,Latin Small Letter G,Standard 0-255 (UTF-8) Character Set
h,Latin Small Letter H,Standard 0-255 (UTF-8) Character Set
i,Latin Small Letter I,Standard 0-255 (UTF-8) Character Set
j,Latin Small Letter J,Standard 0-255 (UTF-8) Character Set
k,Latin Small Letter K,Standard 0-255 (UTF-8) Character Set
l,Latin Small Letter L,Standard 0-255 (UTF-8) Character Set
m,Latin Small Letter M,Standard 0-255 (UTF-8) Character Set
n,Latin Small Letter N,Standard 0-255 (UTF-8) Character Set
o,Latin Small Letter O,Standard 0-255 (UTF-8) Character Set
p,Latin Small Letter P,Standard 0-255 (UTF-8) Character Set
q,Latin Small Letter Q,Standard 0-255 (UTF-8) Character Set
r,Latin Small Letter R,Standard 0-255 (UTF-8) Character Set
s,Latin Small Letter S,Standard 0-255 (UTF-8) Character Set
t,Latin Small Letter T,Standard 0-255 (UTF-8) Character Set
u,Latin Small Letter U,Standard 0-255 (UTF-8) Character Set
v,Latin Small Letter V,Standard 0-255 (UTF-8) Character Set
w,Latin Small Letter W,Standard 0-255 (UTF-8) Character Set
x,Latin Small Letter X,Standard 0-255 (UTF-8) Character Set
y,Latin Small Letter Y,Standard 0-255 (UTF-8) Character Set
z,Latin Small Letter Z,Standard 0-255 (UTF-8) Character Set
{,Left Curly Bracket,Standard 0-255 (UTF-8) Character Set
|,Vertical Line,Standard 0-255 (UTF-8) Character Set
},Right Curly Bracket,Standard 0-255 (UTF-8) Character Set
~,Tilde,Standard 0-255 (UTF-8) Character Set
€,Euro Sign,Standard 0-255 (UTF-8) Character Set
‚,Single Low-9 Quotation Mark,Standard 0-255 (UTF-8) Character Set
ƒ,Latin Small Letter F With Hook,Standard 0-255 (UTF-8) Character Set
„,Double Low-9 Quotation Mark,Standard 0-255 (UTF-8) Character Set
…,Horizontal Ellipsis,Standard 0-255 (UTF-8) Character Set
†,Dagger,Standard 0-255 (UTF-8) Character Set
‡,Double Dagger,Standard 0-255 (UTF-8) Character Set
ˆ,Modifier Letter Circumflex Accent,Standard 0-255 (UTF-8) Character Set
‰,Per Mille Sign,Standard 0-255 (UTF-8) Character Set
Š,Latin Capital Letter S With Caron,Standard 0-255 (UTF-8) Character Set
‹,Single Left-Pointing Angle Quotation Mark,Standard 0-255 (UTF-8) Character Set
Œ,Latin Capital Ligature Oe,Standard 0-255 (UTF-8) Character Set
Ž,Latin Capital Letter Z With Caron,Standard 0-255 (UTF-8) Character Set
‘,Left Single Quotation Mark,Standard 0-255 (UTF-8) Character Set
’,Right Single Quotation Mark,Standard 0-255 (UTF-8) Character Set
“,Left Double Quotation Mark,Standard 0-255 (UTF-8) Character Set
”,Right Double Quotation Mark,Standard 0-255 (UTF-8) Character Set
•,Bullet,Standard 0-255 (UTF-8) Character Set
–,En Dash,Standard 0-255 (UTF-8) Character Set
—,Em Dash,Standard 0-255 (UTF-8) Character Set
˜,Small Tilde,Standard 0-255 (UTF-8) Character Set
™,Trade Mark Sign,Standard 0-255 (UTF-8) Character Set
š,Latin Small Letter S With Caron,Standard 0-255 (UTF-8) Character Set
›,Single Right-Pointing Angle Quotation Mark,Standard 0-255 (UTF-8) Character Set
œ,Latin Small Ligature Oe,Standard 0-255 (UTF-8) Character Set
ž,Latin Small Letter Z With Caron,Standard 0-255 (UTF-8) Character Set
Ÿ,Latin Capital Letter Y With Diaeresis,Standard 0-255 (UTF-8) Character Set
 ,No-Break Space,Standard 0-255 (UTF-8) Character Set
¡,Inverted Exclamation Mark,Standard 0-255 (UTF-8) Character Set
¢,Cent Sign,Standard 0-255 (UTF-8) Character Set
£,Pound Sign,Standard 0-255 (UTF-8) Character Set
¤,Currency Sign,Standard 0-255 (UTF-8) Character Set
¥,Yen Sign,Standard 0-255 (UTF-8) Character Set
¦,Broken Bar,Standard 0-255 (UTF-8) Character Set
§,Section Sign,Standard 0-255 (UTF-8) Character Set
¨,Diaeresis,Standard 0-255 (UTF-8) Character Set
©,Copyright Sign,Standard 0-255 (UTF-8) Character Set
ª,Feminine Ordinal Indicator,Standard 0-255 (UTF-8) Character Set
«,Left-Pointing Double Angle Quotation Mark,Standard 0-255 (UTF-8) Character Set
¬,Not Sign,Standard 0-255 (UTF-8) Character Set
®,Registered Sign,Standard 0-255 (UTF-8) Character Set
¯,Macron,Standard 0-255 (UTF-8) Character Set
°,Degree Sign,Standard 0-255 (UTF-8) Character Set
±,Plus-Minus Sign,Standard 0-255 (UTF-8) Character Set
²,Superscript Two,Standard 0-255 (UTF-8) Character Set
³,Superscript Three,Standard 0-255 (UTF-8) Character Set
´,Acute Accent,Standard 0-255 (UTF-8) Character Set
µ,Micro Sign,Standard 0-255 (UTF-8) Character Set
¶,Pilcrow Sign,Standard 0-255 (UTF-8) Character Set
·,Middle Dot,Standard 0-255 (UTF-8) Character Set
¸,Cedilla,Standard 0-255 (UTF-8) Character Set
¹,Superscript One,Standard 0-255 (UTF-8) Character Set
º,Masculine Ordinal Indicator,Standard 0-255 (UTF-8) Character Set
»,Right-Pointing Double Angle Quotation Mark,Standard 0-255 (UTF-8) Character Set
¼,Vulgar Fraction One Quarter,Standard 0-255 (UTF-8) Character Set
½,Vulgar Fraction One Half,Standard 0-255 (UTF-8) Character Set
¾,Vulgar Fraction Three Quarters,Standard 0-255 (UTF-8) Character Set
¿,Inverted Question Mark,Standard 0-255 (UTF-8) Character Set
À,Latin Capital Letter A With Grave,Standard 0-255 (UTF-8) Character Set
Á,Latin Capital Letter A With Acute,Standard 0-255 (UTF-8) Character Set
Â,Latin Capital Letter A With Circumflex,Standard 0-255 (UTF-8) Character Set
Ã,Latin Capital Letter A With Tilde,Standard 0-255 (UTF-8) Character Set
Ä,Latin Capital Letter A With Diaeresis,Standard 0-255 (UTF-8) Character Set
Å,Latin Capital Letter A With Ring Above,Standard 0-255 (UTF-8) Character Set
Æ,Latin Capital Letter Ae,Standard 0-255 (UTF-8) Character Set
Ç,Latin Capital Letter C With Cedilla,Standard 0-255 (UTF-8) Character Set
È,Latin Capital Letter E With Grave,Standard 0-255 (UTF-8) Character Set
É,Latin Capital Letter E With Acute,Standard 0-255 (UTF-8) Character Set
Ê,Latin Capital Letter E With Circumflex,Standard 0-255 (UTF-8) Character Set
Ë,Latin Capital Letter E With Diaeresis,Standard 0-255 (UTF-8) Character Set
Ì,Latin Capital Letter I With Grave,Standard 0-255 (UTF-8) Character Set
Í,Latin Capital Letter I With Acute,Standard 0-255 (UTF-8) Character Set
Î,Latin Capital Letter I With Circumflex,Standard 0-255 (UTF-8) Character Set
Ï,Latin Capital Letter I With Diaeresis,Standard 0-255 (UTF-8) Character Set
Ð,Latin Capital Letter Eth,Standard 0-255 (UTF-8) Character Set
Ñ,Latin Capital Letter N With Tilde,Standard 0-255 (UTF-8) Character Set
Ò,Latin Capital Letter O With Grave,Standard 0-255 (UTF-8) Character Set
Ó,Latin Capital Letter O With Acute,Standard 0-255 (UTF-8) Character Set
Ô,Latin Capital Letter O With Circumflex,Standard 0-255 (UTF-8) Character Set
Õ,Latin Capital Letter O With Tilde,Standard 0-255 (UTF-8) Character Set
Ö,Latin Capital Letter O With Diaeresis,Standard 0-255 (UTF-8) Character Set
×,Multiplication Sign,Standard 0-255 (UTF-8) Character Set
Ø,Latin Capital Letter O With Stroke,Standard 0-255 (UTF-8) Character Set
Ù,Latin Capital Letter U With Grave,Standard 0-255 (UTF-8) Character Set
Ú,Latin Capital Letter U With Acute,Standard 0-255 (UTF-8) Character Set
Û,Latin Capital Letter U With Circumflex,Standard 0-255 (UTF-8) Character Set
Ü,Latin Capital Letter U With Diaeresis,Standard 0-255 (UTF-8) Character Set
Ý,Latin Capital Letter Y With Acute,Standard 0-255 (UTF-8) Character Set
Þ,Latin Capital Letter Thorn,Standard 0-255 (UTF-8) Character Set
ß,Latin Small Letter Sharp S,Standard 0-255 (UTF-8) Character Set
à,Latin Small Letter A With Grave,Standard 0-255 (UTF-8) Character Set
á,Latin Small Letter A With Acute,Standard 0-255 (UTF-8) Character Set
â,Latin Small Letter A With Circumflex,Standard 0-255 (UTF-8) Character Set
ã,Latin Small Letter A With Tilde,Standard 0-255 (UTF-8) Character Set
ä,Latin Small Letter A With Diaeresis,Standard 0-255 (UTF-8) Character Set
å,Latin Small Letter A With Ring Above,Standard 0-255 (UTF-8) Character Set
æ,Latin Small Letter Ae,Standard 0-255 (UTF-8) Character Set
ç,Latin Small Letter C With Cedilla,Standard 0-255 (UTF-8) Character Set
è,Latin Small Letter E With Grave,Standard 0-255 (UTF-8) Character Set
é,Latin Small Letter E With Acute,Standard 0-255 (UTF-8) Character Set
ê,Latin Small Letter E With Circumflex,Standard 0-255 (UTF-8) Character Set
ë,Latin Small Letter E With Diaeresis,Standard 0-255 (UTF-8) Character Set
ì,Latin Small Letter I With Grave,Standard 0-255 (UTF-8) Character Set
í,Latin Small Letter I With Acute,Standard 0-255 (UTF-8) Character Set
î,Latin Small Letter I With Circumflex,Standard 0-255 (UTF-8) Character Set
ï,Latin Small Letter I With Diaeresis,Standard 0-255 (UTF-8) Character Set
ð,Latin Small Letter Eth,Standard 0-255 (UTF-8) Character Set
ñ,Latin Small Letter N With Tilde,Standard 0-255 (UTF-8) Character Set
ò,Latin Small Letter O With Grave,Standard 0-255 (UTF-8) Character Set
ó,Latin Small Letter O With Acute,Standard 0-255 (UTF-8) Character Set
ô,Latin Small Letter O With Circumflex,Standard 0-255 (UTF-8) Character Set
õ,Latin Small Letter O With Tilde,Standard 0-255 (UTF-8) Character Set
ö,Latin Small Letter O With Diaeresis,Standard 0-255 (UTF-8) Character Set
÷,Division Sign,Standard 0-255 (UTF-8) Character Set
ø,Latin Small Letter O With Stroke,Standard 0-255 (UTF-8) Character Set
ù,Latin Small Letter U With Grave,Standard 0-255 (UTF-8) Character Set
ú,Latin Small Letter U With Acute,Standard 0-255 (UTF-8) Character Set
û,Latin Small Letter U With Circumflex,Standard 0-255 (UTF-8) Character Set
ü,Latin Small Letter U With Diaeresis,Standard 0-255 (UTF-8) Character Set
ý,Latin Small Letter Y With Acute,Standard 0-255 (UTF-8) Character Set
þ,Latin Small Letter Thorn,Standard 0-255 (UTF-8) Character Set
ÿ,Latin Small Letter Y With Diaeresis,Standard 0-255 (UTF-8) Character Set
 ,En Quad,General Punctuation (U+2000 to U+206F)
 ,Em Quad,General Punctuation (U+2000 to U+206F)
 ,En Space,General Punctuation (U+2000 to U+206F)
 ,Em Space,General Punctuation (U+2000 to U+206F)
 ,Three-Per-Em Space,General Punctuation (U+2000 to U+206F)
 ,Four-Per-Em Space,General Punctuation (U+2000 to U+206F)
 ,Six-Per-Em Space,General Punctuation (U+2000 to U+206F)
 ,Figure Space,General Punctuation (U+2000 to U+206F)
 ,Punctuation Space,General Punctuation (U+2000 to U+206F)
 ,Thin Space,General Punctuation (U+2000 to U+206F)
 ,Hair Space,General Punctuation (U+2000 to U+206F)
‐,Hyphen,General Punctuation (U+2000 to U+206F)
‑,Non-Breaking Hyphen,General Punctuation (U+2000 to U+206F)
‒,Figure Dash,General Punctuation (U+2000 to U+206F)
–,En Dash,General Punctuation (U+2000 to U+206F)
—,Em Dash,General Punctuation (U+2000 to U+206F)
―,Horizontal Bar,General Punctuation (U+2000 to U+206F)
‖,Double Vertical Line,General Punctuation (U+2000 to U+206F)
‗,Double Low Line,General Punctuation (U+2000 to U+206F)
‘,Left Single Quotation Mark,General Punctuation (U+2000 to U+206F)
’,Right Single Quotation Mark,General Punctuation (U+2000 to U+206F)
‚,Single Low-9 Quotation Mark,General Punctuation (U+2000 to U+206F)
‛,Single High-Reversed-9 Quotation Mark,General Punctuation (U+2000 to U+206F)
“,Left Double Quotation Mark,General Punctuation (U+2000 to U+206F)
”,Right Double Quotation Mark,General Punctuation (U+2000 to U+206F)
„,Double Low-9 Quotation Mark,General Punctuation (U+2000 to U+206F)
‟,Double High-Reversed-9 Quotation Mark,General Punctuation (U+2000 to U+206F)
†,Dagger,General Punctuation (U+2000 to U+206F)
‡,Double Dagger,General Punctuation (U+2000 to U+206F)
•,Bullet,General Punctuation (U+2000 to U+206F)
‣,Triangular Bullet,General Punctuation (U+2000 to U+206F)
․,One Dot Leader,General Punctuation (U+2000 to U+206F)
‥,Two Dot Leader,General Punctuation (U+2000 to U+206F)
…,Horizontal Ellipsis,General Punctuation (U+2000 to U+206F)
‧,Hyphenation Point,General Punctuation (U+2000 to U+206F)
 ,Line Separator,General Punctuation (U+2000 to U+206F)
 ,Paragraph Separator,General Punctuation (U+2000 to U+206F)
 ,Narrow No-Break Space,General Punctuation (U+2000 to U+206F)
‰,Per Mille Sign,General Punctuation (U+2000 to U+206F)
‱,Per Ten Thousand Sign,General Punctuation (U+2000 to U+206F)
′,Prime,General Punctuation (U+2000 to U+206F)
″,Double Prime,General Punctuation (U+2000 to U+206F)
‴,Triple Prime,General Punctuation (U+2000 to U+206F)
‵,Reversed Prime,General Punctuation (U+2000 to U+206F)
‶,Reversed Double Prime,General Punctuation (U+2000 to U+206F)
‷,Reversed Triple Prime,General Punctuation (U+2000 to U+206F)
‸,Caret,General Punctuation (U+2000 to U+206F)
‹,Single Left-Pointing Angle Quotation Mark,General Punctuation (U+2000 to U+206F)
›,Single Right-Pointing Angle Quotation Mark,General Punctuation (U+2000 to U+206F)
※,Reference Mark,General Punctuation (U+2000 to U+206F)
‼,Double Exclamation Mark,General Punctuation (U+2000 to U+206F)
‽,Interrobang,General Punctuation (U+2000 to U+206F)
‾,Overline,General Punctuation (U+2000 to U+206F)
‿,Undertie,General Punctuation (U+2000 to U+206F)
⁀,Character Tie,General Punctuation (U+2000 to U+206F)
⁁,Caret Insertion Point,General Punctuation (U+2000 to U+206F)
⁂,Asterism,General Punctuation (U+2000 to U+206F)
⁃,Hyphen Bullet,General Punctuation (U+2000 to U+206F)
⁄,Fraction Slash,General Punctuation (U+2000 to U+206F)
⁅,Left Square Bracket With Quill,General Punctuation (U+2000 to U+206F)
⁆,Right Square Bracket With Quill,General Punctuation (U+2000 to U+206F)
⁇,Double Question Mark,General Punctuation (U+2000 to U+206F)
⁈,Question Exclamation Mark,General Punctuation (U+2000 to U+206F)
⁉,Exclamation Question Mark,General Punctuation (U+2000 to U+206F)
⁊,Tironian Sign Et,General Punctuation (U+2000 to U+206F)
⁋,Reversed Pilcrow Sign,General Punctuation (U+2000 to U+206F)
⁌,Black Leftwards Bullet,General Punctuation (U+2000 to U+206F)
⁍,Black Rightwards Bullet,General Punctuation (U+2000 to U+206F)
⁎,Low Asterisk,General Punctuation (U+2000 to U+206F)
⁏,Reversed Semicolon,General Punctuation (U+2000 to U+206F)
⁐,Close Up,General Punctuation (U+2000 to U+206F)
⁑,Two Asterisks Aligned Vertically,General Punctuation (U+2000 to U+206F)
⁒,Commercial Minus Sign,General Punctuation (U+2000 to U+206F)
⁓,Swung Dash,General Punctuation (U+2000 to U+206F)
⁔,Inverted Undertie,General Punctuation (U+2000 to U+206F)
⁕,Flower Punctuation Mark,General Punctuation (U+2000 to U+206F)
⁖,Three Dot Punctuation,General Punctuation (U+2000 to U+206F)
⁗,Quadruple Prime,General Punctuation (U+2000 to U+206F)
⁘,Four Dot Punctuation,General Punctuation (U+2000 to U+206F)
⁙,Five Dot Punctuation,General Punctuation (U+2000 to U+206F)
⁚,Two Dot Punctuation,General Punctuation (U+2000 to U+206F)
⁛,Four Dot Mark,General Punctuation (U+2000 to U+206F)
⁜,Dotted Cross,General Punctuation (U+2000 to U+206F)
⁝,Tricolon,General Punctuation (U+2000 to U+206F)
⁞,Vertical Four Dots,General Punctuation (U+2000 to U+206F)
 ,Medium Mathematical Space,General Punctuation (U+2000 to U+206F)
⁰,Superscript Zero,Superscripts and Subscripts (U+2070 to U+209F)
ⁱ,Superscript Latin Small Letter I,Superscripts and Subscripts (U+2070 to U+209F)
⁴,Superscript Four,Superscripts and Subscripts (U+2070 to U+209F)
⁵,Superscript Five,Superscripts and Subscripts (U+2070 to U+209F)
⁶,Superscript Six,Superscripts and Subscripts (U+2070 to U+209F)
⁷,Superscript Seven,Superscripts and Subscripts (U+2070 to U+209F)
⁸,Superscript Eight,Superscripts and Subscripts (U+2070 to U+209F)
⁹,Superscript Nine,Superscripts and Subscripts (U+2070 to U+209F)
⁺,Superscript Plus Sign,Superscripts and Subscripts (U+2070 to U+209F)
⁻,Superscript Minus,Superscripts and Subscripts (U+2070 to U+209F)
⁼,Superscript Equals Sign,Superscripts and Subscripts (U+2070 to U+209F)
⁽,Superscript Left Parenthesis,Superscripts and Subscripts (U+2070 to U+209F)
⁾,Superscript Right Parenthesis,Superscripts and Subscripts (U+2070 to U+209F)
ⁿ,Superscript Latin Small Letter N,Superscripts and Subscripts (U+2070 to U+209F)
₀,Subscript Zero,Superscripts and Subscripts (U+2070 to U+209F)
₁,Subscript One,Superscripts and Subscripts (U+2070 to U+209F)
₂,Subscript Two,Superscripts and Subscripts (U+2070 to U+209F)
₃,Subscript Three,Superscripts and Subscripts (U+2070 to U+209F)
₄,Subscript Four,Superscripts and Subscripts (U+2070 to U+209F)
₅,Subscript Five,Superscripts and Subscripts (U+2070 to U+209F)
₆,Subscript Six,Superscripts and Subscripts (U+2070 to U+209F)
₇,Subscript Seven,Superscripts and Subscripts (U+2070 to U+209F)
₈,Subscript Eight,Superscripts and Subscripts (U+2070 to U+209F)
₉,Subscript Nine,Superscripts and Subscripts (U+2070 to U+209F)
₊,Subscript Plus Sign,Superscripts and Subscripts (U+2070 to U+209F)
₋,Subscript Minus,Superscripts and Subscripts (U+2070 to U+209F)
₌,Subscript Equals Sign,Superscripts and Subscripts (U+2070 to U+209F)
₍,Subscript Left Parenthesis,Superscripts and Subscripts (U+2070 to U+209F)
₎,Subscript Right Parenthesis,Superscripts and Subscripts (U+2070 to U+209F)
ₐ,Latin Subscript Small Letter A,Superscripts and Subscripts (U+2070 to U+209F)
ₑ,Latin Subscript Small Letter E,Superscripts and Subscripts (U+2070 to U+209F)
ₒ,Latin Subscript Small Letter O,Superscripts and Subscripts (U+2070 to U+209F)
ₓ,Latin Subscript Small Letter X,Superscripts and Subscripts (U+2070 to U+209F)
ₔ,Latin Subscript Small Letter Schwa,Superscripts and Subscripts (U+2070 to U+209F)
ₕ,Latin Subscript Small Letter H,Superscripts and Subscripts (U+2070 to U+209F)
ₖ,Latin Subscript Small Letter K,Superscripts and Subscripts (U+2070 to U+209F)
ₗ,Latin Subscript Small Letter L,Superscripts and Subscripts (U+2070 to U+209F)
ₘ,Latin Subscript Small Letter M,Superscripts and Subscripts (U+2070 to U+209F)
ₙ,Latin Subscript Small Letter N,Superscripts and Subscripts (U+2070 to U+209F)
ₚ,Latin Subscript Small Letter P,Superscripts and Subscripts (U+2070 to U+209F)
ₛ,Latin Subscript Small Letter S,Superscripts and Subscripts (U+2070 to U+209F)
ₜ,Latin Subscript Small Letter T,Superscripts and Subscripts (U+2070 to U+209F)
₠,Euro-Currency Sign,Currency Symbols (U+20A0 to U+20CF)
₡,Colon Sign,Currency Symbols (U+20A0 to U+20CF)
₢,Cruzeiro Sign,Currency Symbols (U+20A0 to U+20CF)
₣,French Franc Sign,Currency Symbols (U+20A0 to U+20CF)
₤,Lira Sign,Currency Symbols (U+20A0 to U+20CF)
₥,Mill Sign,Currency Symbols (U+20A0 to U+20CF)
₦,Naira Sign,Currency Symbols (U+20A0 to U+20CF)
₧,Peseta Sign,Currency Symbols (U+20A0 to U+20CF)
₨,Rupee Sign,Currency Symbols (U+20A0 to U+20CF)
₩,Won Sign,Currency Symbols (U+20A0 to U+20CF)
₪,New Sheqel Sign,Currency Symbols (U+20A0 to U+20CF)
₫,Dong Sign,Currency Symbols (U+20A0 to U+20CF)
€,Euro Sign,Currency Symbols (U+20A0 to U+20CF)
₭,Kip Sign,Currency Symbols (U+20A0 to U+20CF)
₮,Tugrik Sign,Currency Symbols (U+20A0 to U+20CF)
₯,Drachma Sign,Currency Symbols (U+20A0 to U+20CF)
₰,German Penny Sign,Currency Symbols (U+20A0 to U+20CF)
₱,Peso Sign,Currency Symbols (U+20A0 to U+20CF)
₲,Guarani Sign,Currency Symbols (U+20A0 to U+20CF)
₳,Austral Sign,Currency Symbols (U+20A0 to U+20CF)
₴,Hryvnia Sign,Currency Symbols (U+20A0 to U+20CF)
₵,Cedi Sign,Currency Symbols (U+20A0 to U+20CF)
₶,Livre Tournois Sign,Currency Symbols (U+20A0 to U+20CF)
₷,Spesmilo Sign,Currency Symbols (U+20A0 to U+20CF)
₸,Tenge Sign,Currency Symbols (U+20A0 to U+20CF)
₹,Indian Rupee Sign,Currency Symbols (U+20A0 to U+20CF)
₺,Turkish Lira Sign,Currency Symbols (U+20A0 to U+20CF)
₻,Nordic Mark Sign,Currency Symbols (U+20A0 to U+20CF)
₼,Manat Sign,Currency Symbols (U+20A0 to U+20CF)
₽,Ruble Sign,Currency Symbols (U+20A0 to U+20CF)
₾,Lari Sign,Currency Symbols (U+20A0 to U+20CF)
₿,Bitcoin Sign,Currency Symbols (U+20A0 to U+20CF)
⃀,Som Sign,Currency Symbols (U+20A0 to U+20CF)
℀,Account Of,Letterlike Symbols (U+2100 to U+214F)
℁,Addressed To The Subject,Letterlike Symbols (U+2100 to U+214F)
ℂ,Double-Struck Capital C,Letterlike Symbols (U+2100 to U+214F)
℃,Degree Celsius,Letterlike Symbols (U+2100 to U+214F)
℄,Centre Line Symbol,Letterlike Symbols (U+2100 to U+214F)
℅,Care Of,Letterlike Symbols (U+2100 to U+214F)
℆,Cada Una,Letterlike Symbols (U+2100 to U+214F)
ℇ,Euler Constant,Letterlike Symbols (U+2100 to U+214F)
℈,Scruple,Letterlike Symbols (U+2100 to U+214F)
℉,Degree Fahrenheit,Letterlike Symbols (U+2100 to U+214F)
ℊ,Script Small G,Letterlike Symbols (U+2100 to U+214F)
ℋ,Script Capital H,Letterlike Symbols (U+2100 to U+214F)
ℌ,Black-Letter Capital H,Letterlike Symbols (U+2100 to U+214F)
ℍ,Double-Struck Capital H,Letterlike Symbols (U+2100 to U+214F)
ℎ,Planck Constant,Letterlike Symbols (U+2100 to U+214F)
ℏ,Planck Constant Over Two Pi,Letterlike Symbols (U+2100 to U+214F)
ℐ,Script Capital I,Letterlike Symbols (U+2100 to U+214F)
ℑ,Black-Letter Capital I,Letterlike Symbols (U+2100 to U+214F)
ℒ,Script Capital L,Letterlike Symbols (U+2100 to U+214F)
ℓ,Script Small L,Letterlike Symbols (U+2100 to U+214F)
℔,L B Bar Symbol,Letterlike Symbols (U+2100 to U+214F)
ℕ,Double-Struck Capital N,Letterlike Symbols (U+2100 to U+214F)
№,Numero Sign,Letterlike Symbols (U+2100 to U+214F)
℗,Sound Recording Copyright,Letterlike Symbols (U+2100 to U+214F)
℘,Script Capital P,Letterlike Symbols (U+2100 to U+214F)
ℙ,Double-Struck Capital P,Letterlike Symbols (U+2100 to U+214F)
ℚ,Double-Struck Capital Q,Letterlike Symbols (U+2100 to U+214F)
ℛ,Script Capital R,Letterlike Symbols (U+2100 to U+214F)
ℜ,Black-Letter Capital R,Letterlike Symbols (U+2100 to U+214F)
ℝ,Double-Struck Capital R,Letterlike Symbols (U+2100 to U+214F)
℞,Prescription Take,Letterlike Symbols (U+2100 to U+214F)
℟,Response,Letterlike Symbols (U+2100 to U+214F)
℠,Service Mark,Letterlike Symbols (U+2100 to U+214F)
℡,Telephone Sign,Letterlike Symbols (U+2100 to U+214F)
™,Trade Mark Sign,Letterlike Symbols (U+2100 to U+214F)
